Year,NAME,TFEDREV,TSTREV,TLOCREV,other_local,farms,sped,lep,TOTALREV,PPCSTOT,enrollment
2017,CAROLINE CO SCHS,4876047,56397233,13983229,465000,2909,595,365,75256509,14054,5388
2017,CARROLL CO SCHS,11528701,155696934,181852000,2387996,4832,3002,261,349077635,14134,24866
2017,CECIL COUNTY PUBLIC SCHOOLS,8986087,120025820,80610438,460000,6612,2365,207,209622345,14027,14977
2017,CHARLES CO SCHS,15929100,189886219,170604500,1419080,8899,2890,414,376419819,14804,25523
2017,DORCHESTER CO SCHS,4030559,44568497,18938559,1063327,3027,477,125,67537615,15028,4565
2017,FREDERICK CO SCHOOLS,19331295,266785407,247066477,4686625,10206,4424,1914,533183179,13409,40113
2017,GARRETT COUNTY SCHOOLS,3151481,25336997,27424903,60000,1693,415,2,55913381,15386,3638
2017,HARFORD CO SCH,21747893,234734538,233534504,3593695,11088,5073,471,490016935,13489,36593
2017,HOWARD COUNTY SCHOOLS,20225404,299033825,562244625,5682769,11192,5164,2535,881503854,16313,54384
2017,KENT COUNTY SCHOOLS,1653109,11642045,17112378,162989,996,247,42,30407532,16149,1893
2017,MONTGOMERY COUNTY SCHOOLS,74902923,825183563,1617631597,10571804,50923,18248,22368,2517718083,16344,154696
2017,PRINCE GEORGES CO SCHS,96520100,1204497141,698329100,13383900,76798,14678,20370,1999346341,16078,125188
2017,QUEEN ANNES COUNTY SCHOOLS,5377925,40737752,54187293,1101902,1896,905,174,100302970,13535,7492
2017,ST MARYS CO SCHS,18621284,114160037,102690393,740900,5332,1812,228,235471714,13789,17130
2017,SOMERSET CO SCHS,3812138,32408829,9754044,83088,1966,423,102,45975011,16603,2774
2017,TALBOT CO SCHS,3653667,17682790,36830230,66000,1898,455,292,58166687,13474,4322
2017,WASHINGTON CO SCHS,14609227,185873899,94844030,795465,10546,2221,396,295327156,13521,21901
2017,WICOMICO CO SCHOOLS,13448462,153456371,41933313,1993204,8273,1847,710,208838146,14159,14890
2017,WORCESTER CO BOARD OF EDUCATION,5403000,26625827,81193802,225452,2702,846,133,113222629,17971,6313
