School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Linden Community School District,"Genesee, MI","$262,000 ","$153,000 ",171%,146.30%,52,54,96%,-2,8
Pine Grove Area School District,"Schuylkill, PA","$130,000 ","$76,000 ",171%,90.00%,124,95,131%,29,5.7
Lincolnwood Sd 74 School District,"Cook, IL","$455,000 ","$266,000 ",171%,96.77%,53,54,98%,-1,8
Three Rivers Local School District,"Hamilton, OH","$265,000 ","$155,000 ",171%,95.24%,69,58,119%,11,7.5
Mendham Township School District,"Morris, NJ","$990,000 ","$579,000 ",171%,98.68%,86,59,146%,27,9.5
Rsu 26 School District,"Penobscot, ME","$227,000 ","$133,000 ",171%,192.50%,42,98,43%,-56,8.8
Brandon Valley School District 49-2 School District,"Minnehaha, SD","$333,000 ","$195,000 ",171%,96.55%,45,37,122%,8,8.1
Lewis Central Community School District,"Pottawattamie, IA","$264,000 ","$155,000 ",170%,93.75%,50,54,93%,-4,3.5
Andover School District,"Essex, MA","$765,000 ","$450,000 ",170%,95.24%,45,45,100%,0,9.1
Basehor-Linwood School District,"Leavenworth, KS","$326,000 ","$192,000 ",170%,109.38%,67,62,107%,5,7
Marion School District,"Plymouth, MA","$680,000 ","$400,000 ",170%,44.90%,110,51,216%,59,7
Coppell Isd School District,"Dallas, TX","$470,000 ","$277,000 ",170%,108.96%,34,41,83%,-7,9
Northwest Allen County School District,"Allen, IN","$280,000 ","$165,000 ",170%,144.83%,48,48,100%,0,8.3
East Grand Rapids Public School District,"Kent, MI","$500,000 ","$295,000 ",169%,140.38%,34,33,103%,1,10
Forest Hills Public School District,"Kent, MI","$500,000 ","$295,000 ",169%,88.46%,38,33,115%,5,9.8
Hampden-Wilbraham School District,"Hampden, MA","$322,000 ","$190,000 ",169%,141.03%,60,61,98%,-1,8
Park Ridge Ccsd 64 School District,"Cook, IL","$450,000 ","$266,000 ",169%,103.23%,46,54,85%,-8,9.4
Manteno Cusd 5 School District,"Kankakee, IL","$225,000 ","$133,000 ",169%,208.82%,55,74,74%,-19,6.3
La Grange Sd 105 South School District,"Cook, IL","$450,000 ","$266,000 ",169%,138.71%,66,54,122%,12,7.9
Mayfield City School District,"Cuyahoga, OH","$269,000 ","$159,000 ",169%,86.05%,74,62,119%,12,8
Guilford School District,"New Haven, CT","$499,000 ","$295,000 ",169%,144.44%,69,71,97%,-2,10
Walnut Valley Unified School District,"Los Angeles, CA","$930,000 ","$550,000 ",169%,46.15%,48,46,104%,2,9.3
Dover-Sherborn School District,"Middlesex, MA","$940,000 ","$556,000 ",169%,57.38%,67,37,180%,30,10
Sioux Falls School District 49-5 School District,"Lincoln, SD","$540,000 ","$320,000 ",169%,118.18%,62,51,121%,11,6.3
Campbellsport School District,"Fond du Lac, WI","$210,000 ","$124,000 ",169%,138.24%,67,83,81%,-16,5
Lyons Twp Hsd 204 School District,"DuPage, IL","$590,000 ","$350,000 ",169%,89.74%,67,54,124%,13,9.7
Pleasantdale Sd 107 School District,"DuPage, IL","$590,000 ","$350,000 ",169%,89.74%,67,54,124%,13,9.7
Geneseo Cusd 228 School District,"Henry, IL","$165,000 ","$98,000 ",169%,161.11%,48,47,102%,1,9
