Year,IDCENSUS,NAME,CONUM,CSA,CBSA,NCESID,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD
2012,21102001930100,SOMERSET CO SCHS,24039,480,41540,2400570,2882,44791,5567,1656,933,1172,1806,29448,12030,1240,1757,14421,9776,0,0,8724,0,0,0,1052,45467,40749,23806,9641,23087,15475,6488,15867,2216,4133,396,2152,6970,1795,4299,14,405,7668,0,864,100,12.4,3.7,65.7,26.9,21.8,19.5,0,0,14070,8260,3345,8011,5370,2251,5506,769,1434,137,747
2012,21102102030100,TALBOT CO SCHS,24041,N,20660,2400630,4547,54919,3812,723,1249,922,918,15311,4289,804,1491,8727,35796,0,0,34093,0,0,794,909,56115,51724,30788,13850,31328,20051,9341,18338,1963,3521,489,3407,8958,2058,3118,43,1230,33452,0,2106,100,6.9,1.3,27.9,7.8,65.2,62.1,0,1.4,11321,6771,3046,6890,4410,2054,4033,432,774,108,749
2012,21102202130100,WASHINGTON CO SCHS,24043,N,25180,2400660,22240,298631,21794,4591,5561,6036,5606,175811,97475,8026,6702,63608,101026,0,0,95723,0,255,3826,1222,296808,279876,163218,70598,168897,108928,49233,100275,9826,17033,1631,19473,52312,10704,12239,2821,1872,46322,589,4306,100,7.3,1.5,58.9,32.6,33.8,32.1,0.1,1.3,12583,7339,3174,7594,4898,2214,4509,442,766,73,876
2012,21102302230100,WICOMICO CO SCHOOLS,24045,480,41540,2400690,14520,199852,16433,3843,3467,4458,4665,130716,63928,6281,4836,55671,52703,0,0,47019,0,106,1964,3614,194631,183060,107445,47118,110168,72671,33215,66026,11903,11547,874,12300,29402,6866,8090,222,3259,74016,0,7564,100,8.2,1.9,65.4,32,26.4,23.5,0.1,1,12594,7400,3245,7587,5005,2288,4547,820,795,60,847
2012,21102402330100,WORCESTER CO BOARD OF EDUCATION,24047,480,36180,2400720,6643,112484,9470,1614,2153,1643,4060,26403,6330,1478,2849,15746,76611,0,0,75489,0,0,796,326,115349,108141,63628,26255,69182,45628,19230,36091,4372,7246,454,6837,17182,2868,4251,72,2885,30274,0,6268,100,8.4,1.4,23.5,5.6,68.1,67.1,0,0.7,16234,9578,3952,10414,6869,2895,5433,658,1091,68,1029
2012,21200400130100,BALTIMORE CITY SCHOOLS,24510,548,12580,2400090,84212,1459517,203999,74748,30089,34816,64346,983161,386062,73084,19106,504909,272357,0,0,254983,0,0,3848,13526,1478108,1287344,692511,319350,751045,456512,184718,497847,50264,78159,94005,130710,144709,38452,115390,68222,7152,146340,0,5235,100,14,5.1,67.4,26.5,18.7,17.5,0,0.3,15287,8223,3792,8919,5421,2193,5912,597,928,1116,1552
2011,2.11002E+13,ANNE ARUNDEL CO SCHS,24003,548,12580,2400060,75481,1102787,78339,10334,26055,9812,32138,360457,176821,23597,18996,141043,663991,0,0,631068,0,318,26681,5924,1145368,983058,576882,246502,616571,398297,177497,329611,40079,49397,6794,73802,159539,36876,125216,19940,17154,422995,76540,23777,100,7.1,0.9,32.7,16,60.2,57.2,0,2.4,13019,7643,3266,8169,5277,2352,4367,531,654,90,978
2011,2.11003E+13,BALTIMORE COUNTY SCHOOLS,24005,548,12580,2400120,104160,1555549,138275,27187,40779,21375,48934,609619,316174,44344,24540,224561,807655,0,0,768781,0,3612,32070,3192,1537580,1380557,832885,360498,839877,545849,248464,487351,72466,64428,12279,103053,235125,53329,108662,35260,13101,342444,89000,18327,100,8.9,1.7,39.2,20.3,51.9,49.4,0.2,2.1,13252,7996,3461,8063,5240,2385,4679,696,619,118,989
2011,2.11005E+13,CALVERT CO SCHS,24009,548,47900,2400150,16795,257113,15675,1621,4716,1453,7885,108766,60836,5426,5010,37494,132672,0,0,122200,0,0,7649,2823,253840,224977,138050,50480,139883,99040,37376,72842,9628,8296,1248,12662,41008,12252,24048,3179,1636,55795,14691,4318,100,6.1,0.6,42.3,23.7,51.6,47.5,0,3,13326,8220,3006,8329,5897,2225,4337,573,494,74,754
2011,2.11006E+13,CAROLINE CO SCHS,24011,N,N,2400180,5517,74545,8749,1266,1965,1525,3993,48680,22829,2313,2248,21290,17116,0,0,12416,0,0,1768,2932,76133,66036,39670,16018,40709,27291,11358,22144,3644,3571,734,4155,10040,3183,8497,810,790,17552,135,1137,100,11.7,1.7,65.3,30.6,23,16.7,0,2.4,11970,7191,2903,7379,4947,2059,4014,661,647,133,753
